,generation,train_fitness
0,10.0,0.4475650057305044
1,20.0,0.5000536176270588
2,30.0,0.5721712962712245
3,40.0,0.6783080580358839
4,50.0,0.7798304367833788
5,60.0,0.8761338025592126
6,70.0,0.9423219994731896
7,80.0,1.004456794244077
8,90.0,1.088344081319292
9,100.0,1.122683783430139
10,110.0,1.1697301277421912
11,120.0,1.2501892391405356
12,130.0,1.2713214341269794
13,140.0,1.2590275579006942
14,150.0,1.2551710173328565
15,160.0,1.2494366764398541
16,170.0,1.2473336080251318
17,180.0,1.2720267193133532
18,190.0,1.2981118686313269
19,200.0,1.3433721108598478
20,210.0,1.314394536999467
21,220.0,1.3873763169330486
22,230.0,1.4472992353992815
23,240.0,1.4719788260488498
24,250.0,1.5994639601991973
25,260.0,1.5748891842895572
26,270.0,1.5290071299715144
27,280.0,1.585112036706472
28,290.0,1.544147986410251
29,300.0,1.4918282837395427
30,310.0,1.5228435157952933
31,320.0,1.5510466624291674
32,330.0,1.4914610574075204
33,340.0,1.471418413773723
34,350.0,1.4986299060200987
35,360.0,1.5072717489788976
36,370.0,1.5264232637041442
37,380.0,1.5203526122349753
38,390.0,1.5605071967495823
39,400.0,1.5506879745576319
40,410.0,1.4975140309252115
41,420.0,1.47168688332989
42,430.0,1.4834106521719514
43,440.0,1.5894229307796675
44,450.0,1.624832778354555
45,460.0,1.6705590500455993
46,470.0,1.6312979329263506
47,480.0,1.6484701292871122
48,490.0,1.5693483407801234
49,500.0,1.6586171225701227
50,510.0,1.6116396726283595
51,520.0,1.5699830563978117
52,530.0,1.5542247410687982
53,540.0,1.6149138586417873
54,550.0,1.5430781314430015
55,560.0,1.579699334172442
56,570.0,1.597114562394965
57,580.0,1.5661982356747997
58,590.0,1.5548295561117291
59,600.0,1.6932626750761501
60,610.0,1.6193001385731807
61,620.0,1.541867759986148
62,630.0,1.6654024237901655
63,640.0,1.6817690854425311
64,650.0,1.7256455078338304
65,660.0,1.7897911314597725
66,670.0,1.7688448510151489
67,680.0,1.7769639400615664
68,690.0,1.8228931327205251
69,700.0,1.7520750816761825
70,710.0,1.7839394666416668
71,720.0,1.8057905855595022
72,730.0,1.7891837834895525
73,740.0,1.8000060615992943
74,750.0,1.7406908896604298
75,760.0,1.6526194398164427
76,770.0,1.7484203460970866
77,780.0,1.7448918816670995
78,790.0,1.6861074269999958
79,800.0,1.6567091981036437
80,810.0,1.6659266448124521
81,820.0,1.6746810210417113
82,830.0,1.7150433148174153
83,840.0,1.659526195050003
84,850.0,1.6942440085712902
85,860.0,1.7829134644927476
86,870.0,1.7280615594913236
87,880.0,1.6801332350576434
88,890.0,1.6673017696180896
89,900.0,1.7612685783529958
90,910.0,1.7898170989524012
91,920.0,1.7626617735692622
92,930.0,1.6837294551937294
93,940.0,1.8311281777379358
94,950.0,1.7918192439342635
95,960.0,1.7954770333720853
96,970.0,1.745763942400771
97,980.0,1.8635070744887186
98,990.0,1.8055167688116511
99,1000.0,1.804417479992323
100,1010.0,1.80090973893075
101,1020.0,1.7163441196604183
102,1030.0,1.7945716962041964
103,1040.0,1.7372050347281591
104,1050.0,1.7475239690932873
105,1060.0,1.749714628878649
106,1070.0,1.7698756316845272
107,1080.0,1.7251034344998841
108,1090.0,1.733770558782361
109,1100.0,1.759241109072943
110,1110.0,1.7668066098357362
111,1120.0,1.7114808738183573
112,1130.0,1.8675044693620266
113,1140.0,1.7781374365535758
114,1150.0,1.805864057979179
