,generation,valid_fitness
0,10.0,0.4484162006988608
1,20.0,0.5015527071944285
2,30.0,0.5775528838820964
3,40.0,0.6826789400047593
4,50.0,0.7866262167430474
5,60.0,0.8788348598798938
6,70.0,0.917801043623164
7,80.0,1.0023204062233122
8,90.0,1.14533605373108
9,100.0,1.2043172389330572
10,110.0,1.2044918920165257
11,120.0,1.2905169403832366
12,130.0,1.2448929615918412
13,140.0,1.2367506975390372
14,150.0,1.2348174892150454
15,160.0,1.2759676098322819
16,170.0,1.365328092489877
17,180.0,1.3419803666288526
18,190.0,1.3466134375055034
19,200.0,1.3822525217810113
20,210.0,1.4999878629541554
21,220.0,1.3533834937044258
22,230.0,1.434002522435376
23,240.0,1.4477906962803404
24,250.0,1.7657853469328784
25,260.0,1.525004567060133
26,270.0,1.6298010221427204
27,280.0,1.658332842087952
28,290.0,1.687475008490441
29,300.0,1.5607531165494708
30,310.0,1.4698200812849997
31,320.0,1.8355454369658557
32,330.0,1.48754781029349
33,340.0,1.738469249512905
34,350.0,1.4620546282804574
35,360.0,1.5629720717033957
36,370.0,1.6008680598456564
37,380.0,1.536510286501985
38,390.0,1.5916482595517099
39,400.0,1.6325923130769537
40,410.0,1.4162965938986032
41,420.0,1.4098030312328487
42,430.0,1.4265598752193205
43,440.0,1.6596220658306264
44,450.0,1.688085742905765
45,460.0,1.6465439336825116
46,470.0,1.6000729147344162
47,480.0,1.5149456624715476
48,490.0,1.6119933501015247
49,500.0,1.6386689773074041
50,510.0,1.552176566310586
51,520.0,1.4781575885862281
52,530.0,1.644677694966242
53,540.0,1.6606722801741345
54,550.0,1.5477964448580133
55,560.0,1.488623780288306
56,570.0,1.8118102000707228
57,580.0,1.7451492513765396
58,590.0,1.6621726121953284
59,600.0,1.6534274323116491
60,610.0,1.6865340494196814
61,620.0,1.739551854003492
62,630.0,1.7471250656458472
63,640.0,1.8581709670583586
64,650.0,1.7338938359560212
65,660.0,1.6309625293067758
66,670.0,1.6612902486656966
67,680.0,1.591467685140655
68,690.0,1.926834925961397
69,700.0,2.0037853300506976
70,710.0,1.7111233842010718
71,720.0,1.8428590641005689
72,730.0,1.452751651005753
73,740.0,1.9080993813768214
74,750.0,1.8236183303022635
75,760.0,1.6367956257515228
76,770.0,1.974505546566631
77,780.0,1.4721560366188249
78,790.0,1.6540467055393053
79,800.0,1.7683245057012504
