,generation,valid_accuracy
0,10.0,0.25
1,20.0,0.3466796875
2,30.0,0.51953125
3,40.0,0.521484375
4,50.0,0.625
5,60.0,0.6884765625
6,70.0,0.6904296875
7,80.0,0.7060546875
8,90.0,0.716796875
9,100.0,0.7373046875
10,110.0,0.73828125
11,120.0,0.7587890625
12,130.0,0.7509765625
13,140.0,0.7529296875
14,150.0,0.755859375
15,160.0,0.759765625
16,170.0,0.78125
17,180.0,0.76953125
18,190.0,0.767578125
19,200.0,0.7783203125
20,210.0,0.806640625
21,220.0,0.765625
22,230.0,0.7734375
23,240.0,0.7802734375
24,250.0,0.8212890625
25,260.0,0.7998046875
26,270.0,0.80859375
27,280.0,0.8125
28,290.0,0.7998046875
29,300.0,0.798828125
30,310.0,0.79296875
31,320.0,0.8232421875
32,330.0,0.7939453125
33,340.0,0.802734375
34,350.0,0.791015625
35,360.0,0.7978515625
36,370.0,0.80078125
37,380.0,0.7978515625
38,390.0,0.81640625
39,400.0,0.82421875
40,410.0,0.783203125
41,420.0,0.787109375
42,430.0,0.7861328125
43,440.0,0.81640625
44,450.0,0.8203125
45,460.0,0.8125
46,470.0,0.806640625
47,480.0,0.8125
48,490.0,0.826171875
49,500.0,0.8095703125
50,510.0,0.8115234375
51,520.0,0.802734375
52,530.0,0.822265625
53,540.0,0.8212890625
54,550.0,0.8095703125
55,560.0,0.8251953125
56,570.0,0.8310546875
57,580.0,0.8330078125
58,590.0,0.8251953125
59,600.0,0.8056640625
60,610.0,0.8291015625
61,620.0,0.8388671875
62,630.0,0.8330078125
63,640.0,0.8564453125
64,650.0,0.8359375
65,660.0,0.8271484375
66,670.0,0.8359375
67,680.0,0.8203125
68,690.0,0.853515625
69,700.0,0.859375
70,710.0,0.83984375
71,720.0,0.8505859375
72,730.0,0.822265625
73,740.0,0.8486328125
74,750.0,0.853515625
75,760.0,0.833984375
76,770.0,0.841796875
77,780.0,0.8271484375
78,790.0,0.8388671875
79,800.0,0.849609375
80,810.0,0.837890625
81,820.0,0.8427734375
82,830.0,0.845703125
83,840.0,0.8291015625
84,850.0,0.84765625
85,860.0,0.837890625
86,870.0,0.8447265625
87,880.0,0.8408203125
88,890.0,0.845703125
89,900.0,0.8564453125
90,910.0,0.8564453125
91,920.0,0.8408203125
92,930.0,0.841796875
93,940.0,0.84375
94,950.0,0.8271484375
95,960.0,0.8291015625
96,970.0,0.84765625
97,980.0,0.85546875
98,990.0,0.87109375
99,1000.0,0.84765625
100,1010.0,0.849609375
101,1020.0,0.880859375
102,1030.0,0.859375
103,1040.0,0.865234375
104,1050.0,0.8505859375
105,1060.0,0.8564453125
106,1070.0,0.853515625
107,1080.0,0.8388671875
108,1090.0,0.869140625
109,1100.0,0.8564453125
110,1110.0,0.8388671875
111,1120.0,0.875
112,1130.0,0.8671875
113,1140.0,0.87890625
114,1150.0,0.8603515625
115,1160.0,0.884765625
116,1170.0,0.875
117,1180.0,0.8662109375
118,1190.0,0.859375
119,1200.0,0.873046875
120,1210.0,0.8818359375
121,1220.0,0.896484375
122,1230.0,0.869140625
123,1240.0,0.8662109375
124,1250.0,0.869140625
125,1260.0,0.875
126,1270.0,0.8544921875
127,1280.0,0.865234375
128,1290.0,0.884765625
129,1300.0,0.873046875
130,1310.0,0.87109375
131,1320.0,0.8486328125
132,1330.0,0.8427734375
133,1340.0,0.8759765625
134,1350.0,0.8837890625
135,1360.0,0.8681640625
136,1370.0,0.8603515625
137,1380.0,0.8515625
138,1390.0,0.88671875
139,1400.0,0.865234375
